Game,Link,Week,Johannes,Sunniva,Verdict
Junk Art,https://boardgamegeek.com/boardgame/193042/junk-art,9,KEEP,CULL,CULL
Rajas of the Ganges,https://boardgamegeek.com/boardgame/220877/rajas-ganges,8,KEEP,KEEP,KEEP
Pharaon,https://boardgamegeek.com/boardgame/282414/pharaon,8,KEEP,CULL,KEEP
Santa Maria,https://boardgamegeek.com/boardgame/229220/santa-maria,8,KEEP,CULL,KEEP
Imhotep: The Duel,https://boardgamegeek.com/boardgame/255674/imhotep-duel,8,CULL,CULL,CULL
Rolled West,https://boardgamegeek.com/boardgame/280041/rolled-west,8,CULL,CULL,CULL
Welcome To...,https://boardgamegeek.com/boardgame/233867/welcome,8,KEEP,KEEP,KEEP
LYNGK,https://boardgamegeek.com/boardgame/217083/lyngk,8,KEEP,KEEP,KEEP
Nidavellir,https://boardgamegeek.com/boardgame/293014/nidavellir,8,KEEP,KEEP,KEEP
Star Wars: Rebellion,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,8,KEEP,KEEP,KEEP
Hanabi,https://boardgamegeek.com/boardgame/98778/hanabi,7,CULL,CULL,CULL
Rhino Hero,https://boardgamegeek.com/boardgame/91514/rhino-hero,7,KEEP,CULL,KEEP
The Fox in the Forest Duet,https://boardgamegeek.com/boardgame/288169/fox-forest-duet,7,CULL,CULL,CULL
Gaia Project,https://boardgamegeek.com/boardgame/220308/gaia-project,7,KEEP,CULL,KEEP
Tokaido,https://boardgamegeek.com/boardgame/123540/tokaido,7,CULL,CULL,CULL
Kanagawa,https://boardgamegeek.com/boardgame/200147/kanagawa,7,CULL,KEEP,CULL
On Tour,https://boardgamegeek.com/boardgame/251412/tour,7,CULL,CULL,CULL
Signorie,https://boardgamegeek.com/boardgame/177678/signorie,7,KEEP,KEEP,KEEP
Tsuro,https://boardgamegeek.com/boardgame/16992/tsuro,7,CULL,CULL,CULL
The Magnificent,https://boardgamegeek.com/boardgame/283863/magnificent,7,CULL,KEEP,KEEP
Terra Mystica,https://boardgamegeek.com/boardgame/120677/terra-mystica,7,KEEP,KEEP,KEEP
Majesty: For the Realm,https://boardgamegeek.com/boardgame/230080/majesty-realm,7,KEEP,KEEP,KEEP
ClipCut Parks,https://boardgamegeek.com/boardgame/283289/clipcut-parks,7,KEEP,KEEP,KEEP
Blackout: Hong Kong,https://boardgamegeek.com/boardgame/262215/blackout-hong-kong,6,KEEP,KEEP,KEEP
Electropolis,https://boardgamegeek.com/boardgame/286431/electropolis,6,KEEP,KEEP,KEEP
Arboretum,https://boardgamegeek.com/boardgame/140934/arboretum,6,KEEP,KEEP,KEEP
Dale of Merchants,https://boardgamegeek.com/boardgame/176165/dale-merchants,6,CULL,CULL,CULL
Calico,https://boardgamegeek.com/boardgame/283155/calico,6,KEEP,CULL,CULL
Temporum,https://boardgamegeek.com/boardgame/162263/temporum,6,CULL,CULL,CULL
Crown of Emara,https://boardgamegeek.com/boardgame/256570/crown-emara,6,KEEP,KEEP,KEEP
Minute Realms,https://boardgamegeek.com/boardgame/234468/minute-realms,6,CULL,CULL,CULL
The Manhattan Project: Energy Empire,https://boardgamegeek.com/boardgame/176734/manhattan-project-energy-empire,6,KEEP,KEEP,KEEP
Dokmus,https://boardgamegeek.com/boardgame/199793/dokmus,6,CULL,CULL,CULL
Merchants of Muziris,https://boardgamegeek.com/boardgame/231215/merchants-muziris,6,KEEP,CULL,KEEP
Everdell,https://boardgamegeek.com/boardgame/199792/everdell,6,KEEP,CULL,KEEP
No Thanks!,https://boardgamegeek.com/boardgame/12942/no-thanks,6,KEEP,CULL,KEEP
Cat Lady,https://boardgamegeek.com/boardgame/228504/cat-lady,6,CULL,CULL,CULL
Qwixx,https://boardgamegeek.com/boardgame/131260/qwixx,6,CULL,CULL,CULL
Trails of Tucana,https://boardgamegeek.com/boardgame/283864/trails-tucana,6,KEEP,KEEP,KEEP
"Railroad Ink: Deep Blue Edition, Blazing Red Edition",https://boardgamegeek.com/boardgame/245654/railroad-ink-deep-blue-edition,6,CULL,KEEP,CULL
Age of Steam,https://boardgamegeek.com/boardgame/4098/age-steam,5,KEEP,KEEP,KEEP
Bruxelles 1893,https://boardgamegeek.com/boardgame/144592/bruxelles-1893,5,KEEP,KEEP,KEEP
Carcassonne,https://boardgamegeek.com/boardgame/822/carcassonne,5,CULL,CULL,CULL
Ginkgopolis,https://boardgamegeek.com/boardgame/128271/ginkgopolis,5,KEEP,KEEP,KEEP
Arcane Academy,https://boardgamegeek.com/boardgame/144734/arcane-academy,5,CULL,CULL,CULL
Ankh'or,https://boardgamegeek.com/boardgame/271530/ankhor,5,CULL,KEEP,CULL
1987: Channel Tunnel,https://boardgamegeek.com/boardgame/279306/1987-channel-tunnel,5,KEEP,KEEP,KEEP
Myrmes,https://boardgamegeek.com/boardgame/126792/myrmes,5,KEEP,KEEP,KEEP
Vasco da Gama,https://boardgamegeek.com/boardgame/41002/vasco-da-gama,5,CULL,CULL,CULL
Circadians:First Light,https://boardgamegeek.com/boardgame/264052/circadians-first-light,5,KEEP,KEEP,KEEP
Pax Pamir: Second Edition,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition,5,KEEP,KEEP,KEEP
Amun-Re,https://boardgamegeek.com/boardgame/5404/amun-re,5,CULL,CULL,CULL
High Society,https://boardgamegeek.com/boardgame/220/high-society,5,KEEP,CULL,KEEP
Trickerion: Legends of Illusion,https://boardgamegeek.com/boardgame/163068/trickerion-legends-illusion,5,KEEP,KEEP,KEEP
Red7,https://boardgamegeek.com/boardgame/161417/red7,5,CULL,KEEP,KEEP
Chicago Express,https://boardgamegeek.com/boardgame/31730/chicago-express,5,KEEP,CULL,KEEP
Point Salad,https://boardgamegeek.com/boardgame/274960/point-salad,5,CULL,CULL,CULL
Piña Pirata,https://boardgamegeek.com/boardgame/154479/pina-pirata,5,CULL,CULL,CULL
Cosmic Encounter Duel,https://boardgamegeek.com/boardgame/298572/cosmic-encounter-duel,4,CULL,CULL,CULL
Tides of Time,https://boardgamegeek.com/boardgame/176229/tides-time,4,CULL,CULL,CULL
Orléans,https://boardgamegeek.com/boardgame/164928/orleans,4,KEEP,KEEP,KEEP
Viceroy,https://boardgamegeek.com/boardgame/157526/viceroy,4,KEEP,CULL,CULL
Biblios,https://boardgamegeek.com/boardgame/34219/biblios,4,KEEP,CULL,KEEP
The Prodigals Club,https://boardgamegeek.com/boardgame/181796/prodigals-club,4,CULL,CULL,CULL
Altiplano,https://boardgamegeek.com/boardgame/234487/altiplano,4,KEEP,CULL,KEEP
 SHŌBU,https://boardgamegeek.com/boardgame/272380/shbu,4,KEEP,KEEP,KEEP
Onitama,https://boardgamegeek.com/boardgame/160477/onitama,4,CULL,CULL,CULL
DVONN,https://boardgamegeek.com/boardgame/2346/dvonn,4,KEEP,KEEP,KEEP
Circle the Wagons,https://boardgamegeek.com/boardgame/213266/circle-wagons,4,KEEP,CULL,KEEP
Sprawlopolis,https://boardgamegeek.com/boardgame/251658/sprawlopolis,4,CULL,CULL,CULL
Hanamikoji,https://boardgamegeek.com/boardgame/158600/hanamikoji,4,KEEP,KEEP,KEEP
Foothills,https://boardgamegeek.com/boardgame/270538/foothills,4,KEEP,KEEP,KEEP
TZAAR,https://boardgamegeek.com/boardgame/31999/tzaar,4,KEEP,KEEP,KEEP
YINSH,https://boardgamegeek.com/boardgame/7854/yinsh,4,KEEP,KEEP,KEEP
Via Nebula,https://boardgamegeek.com/boardgame/191231/nebula,4,CULL,CULL,CULL
Quadropolis,https://boardgamegeek.com/boardgame/176396/quadropolis,4,KEEP,KEEP,KEEP
Through the Desert,https://boardgamegeek.com/boardgame/503/through-desert,4,KEEP,CULL,KEEP
Azul,https://boardgamegeek.com/boardgame/230802/azul,3,CULL,KEEP,CULL
Azul: Stained Glass of Sintra,https://boardgamegeek.com/boardgame/256226/azul-stained-glass-sintra,3,CULL,CULL,CULL
Azul: Summer Pavilion,https://boardgamegeek.com/boardgame/287954/azul-summer-pavilion,3,KEEP,KEEP,KEEP
Riverboat,https://boardgamegeek.com/boardgame/227515/riverboat,3,KEEP,KEEP,KEEP
X nimmt!,https://boardgamegeek.com/boardgame/205885/x-nimmt,3,CULL,CULL,CULL
Tikal,https://boardgamegeek.com/boardgame/54/tikal,3,CULL,CULL,CULL
Renature,https://boardgamegeek.com/boardgame/300001/renature,3,CULL,KEEP,CULL
The Game,https://boardgamegeek.com/boardgame/173090/game,3,CULL,CULL,CULL
The Princes of Florence,https://boardgamegeek.com/boardgame/555/princes-florence,3,KEEP,KEEP,KEEP
Similo,https://boardgamegeek.com/boardgame/268620/similo,3,KEEP,KEEP,KEEP
Heaven & Ale,https://boardgamegeek.com/boardgame/227789/heaven-ale,3,KEEP,CULL,KEEP
Schotten Totten,https://boardgamegeek.com/boardgame/372/schotten-totten,3,CULL,KEEP,KEEP
Paris,https://boardgamegeek.com/boardgame/282954/paris,3,CULL,CULL,CULL
Torres,https://boardgamegeek.com/boardgame/88/torres,3,KEEP,KEEP,KEEP
Porta Nigra,https://boardgamegeek.com/boardgame/172385/porta-nigra,3,KEEP,KEEP,KEEP
Hats,https://boardgamegeek.com/boardgame/281658/hats,3,KEEP,KEEP,KEEP
Cuzco,https://boardgamegeek.com/boardgame/249411/cuzco,3,KEEP,KEEP,KEEP
Clans of Caledonia,https://boardgamegeek.com/boardgame/216132/clans-caledonia,3,KEEP,KEEP,KEEP
 Bärenpark,https://boardgamegeek.com/boardgame/219513/barenpark,2,KEEP,KEEP,KEEP
Blue Lagoon,https://boardgamegeek.com/boardgame/244331/blue-lagoon,2,KEEP,KEEP,KEEP
Tiny Towns,https://boardgamegeek.com/boardgame/265736/tiny-towns,2,KEEP,KEEP,KEEP
Ghost Blitz,https://boardgamegeek.com/boardgame/83195/ghost-blitz,2,CULL,CULL,CULL
Ricochet Robots,https://boardgamegeek.com/boardgame/51/ricochet-robots,2,KEEP,KEEP,KEEP
Sagrada,https://boardgamegeek.com/boardgame/199561/sagrada,2,CULL,CULL,CULL
Scarabya,https://boardgamegeek.com/boardgame/244330/scarabya,2,CULL,CULL,CULL
Jungle Speed,https://boardgamegeek.com/boardgame/8098/jungle-speed,2,CULL,CULL,CULL
Cyclades,https://boardgamegeek.com/boardgame/54998/cyclades,2,CULL,CULL,CULL
Babylonia,https://boardgamegeek.com/boardgame/266164/babylonia,2,KEEP,CULL,KEEP
Darwin's Journey,https://boardgamegeek.com/boardgame/322289/darwins-journey,2,KEEP,KEEP,KEEP
Lost Cities,https://boardgamegeek.com/boardgame/50/lost-cities,2,KEEP,CULL,KEEP
Second Chance,https://boardgamegeek.com/boardgame/265683/second-chance,2,CULL,CULL,CULL
Patchwork,https://boardgamegeek.com/boardgame/163412/patchwork,2,KEEP,KEEP,KEEP
The Bloody Inn,https://boardgamegeek.com/boardgame/180593/bloody-inn,2,CULL,KEEP,KEEP
Silver & Gold,https://boardgamegeek.com/boardgame/270673/silver-gold,2,CULL,CULL,CULL
Avenue,https://boardgamegeek.com/boardgame/205045/avenue,2,KEEP,CULL,KEEP
Five Tribes,https://boardgamegeek.com/boardgame/157354/five-tribes,2,CULL,KEEP,CULL
Nations,https://boardgamegeek.com/boardgame/126042/nations,2,KEEP,KEEP,KEEP
Kraftwagen,https://boardgamegeek.com/boardgame/171879/kraftwagen,2,CULL,CULL,CULL
Nations: The Dice Game,https://boardgamegeek.com/boardgame/157809/nations-dice-game,2,CULL,CULL,CULL
Seven Bridges,https://boardgamegeek.com/boardgame/266188/seven-bridges,2,CULL,CULL,CULL
The Blood of an Englishman,https://boardgamegeek.com/boardgame/206504/blood-englishman,1,KEEP,CULL,CULL
That's Pretty Clever!,https://boardgamegeek.com/boardgame/244522/s-pretty-clever,1,CULL,CULL,CULL
The Fox in the Forest,https://boardgamegeek.com/boardgame/221965/fox-forest,1,KEEP,KEEP,KEEP
Shadows in Kyoto,https://boardgamegeek.com/boardgame/229741/shadows-kyoto,1,KEEP,KEEP,KEEP
Stew,https://boardgamegeek.com/boardgame/242324/stew,1,CULL,CULL,CULL
Mr. Jack,https://boardgamegeek.com/boardgame/21763/mr-jack,1,CULL,CULL,CULL
Patchwork Express,https://boardgamegeek.com/boardgame/246639/patchwork-express,1,CULL,CULL,CULL
Timeline,https://boardgamegeek.com/boardgame/128664/timeline,1,CULL,KEEP,KEEP
Timeline: Discoveries,https://boardgamegeek.com/boardgame/99975/timeline-discoveries,1,CULL,CULL,CULL
The Mind,https://boardgamegeek.com/boardgame/244992/mind,1,CULL,CULL,CULL
Seasons,https://boardgamegeek.com/boardgame/108745/seasons,1,CULL,CULL,CULL
Zombie Dice,https://boardgamegeek.com/boardgame/62871/zombie-dice,1,CULL,KEEP,CULL
Hex Roller,https://boardgamegeek.com/boardgame/267568/hexroller,1,CULL,CULL,CULL
Reef,https://boardgamegeek.com/boardgame/244228/reef,1,CULL,CULL,CULL
Ligretto,https://boardgamegeek.com/boardgame/943/ligretto,1,CULL,CULL,CULL
Jaipur,https://boardgamegeek.com/boardgame/54043/jaipur,1,KEEP,CULL,CULL
NMBR 9,https://boardgamegeek.com/boardgame/217449/nmbr-9,1,KEEP,KEEP,KEEP
"Star Realms, Star Realms: Frontiers",https://boardgamegeek.com/boardgame/147020/star-realms,1,CULL,CULL,CULL
Neolithic,https://boardgamegeek.com/boardgame/193486/neolithic,1,CULL,CULL,CULL
Keep,https://boardgamegeek.com/boardgame/185276/keep,1,CULL,CULL,CULL
Conspiracy: Abyss Universe,https://boardgamegeek.com/boardgame/276042/conspiracy-abyss-universe,1,KEEP,KEEP,KEEP
Stronghold: 2nd Edition,https://boardgamegeek.com/boardgame/179460/stronghold-2nd-edition,1,CULL,CULL,CULL
Goa,https://boardgamegeek.com/boardgame/9216/goa,1,KEEP,KEEP,KEEP
L.A.M.A.,https://boardgamegeek.com/boardgame/266083/llm,1,KEEP,KEEP,KEEP
Mysterium Park,https://boardgamegeek.com/boardgame/301767/mysterium-park,20,KEEP,KEEP,KEEP
Pictomania,https://boardgamegeek.com/boardgame/98229/pictomania,20,KEEP,KEEP,KEEP
Villagers,https://boardgamegeek.com/boardgame/241724/villagers,20,KEEP,KEEP,KEEP
Gùgōng,https://boardgamegeek.com/boardgame/250458/gugng,20,CULL,CULL,CULL
"Hey, That's My Fish!",https://boardgamegeek.com/boardgame/8203/hey-s-my-fish,20,KEEP,KEEP,KEEP
A Gentle Rain,https://boardgamegeek.com/boardgame/334011/gentle-rain,20,CULL,CULL,CULL
Meadow,https://boardgamegeek.com/boardgame/314491/meadow,20,CULL,CULL,CULL
Stone Age,https://boardgamegeek.com/boardgame/34635/stone-age,20,KEEP,CULL,KEEP