Artist,# Keep,# Cull,Total Games by This Artist,Games
Klemens Franz,10,5,15,"Altiplano (KEEP)
Bärenpark (KEEP)
Clans of Caledonia (KEEP)
Foothills (KEEP)
Glasgow (CULL)
Grand Austria Hotel (KEEP)
Guilds of London (CULL)
Isle of Skye: From Chieftain to King (KEEP)
Mombasa (KEEP)
Orléans (KEEP)
Patchwork (KEEP)
Patchwork Express (CULL)
Piepmatz (CULL)
Riverboat (KEEP)
Snowdonia (CULL)"
Franz Vohwinkel,7,5,12,"Amun-Re (CULL)
Jungle Speed (CULL)
Lords of Vegas (CULL)
Lost Cities (KEEP)
Medici (KEEP)
Mexica (KEEP)
Ricochet Robots (KEEP)
The Princes of Florence (KEEP)
The Quest for El Dorado (KEEP)
Tikal (CULL)
Torres (KEEP)
Tsuro (CULL)"
Harald Lieske,5,7,12,"Amerigo (KEEP)
Calimala (KEEP)
Dominion (KEEP)
Fast Forward: FEAR (CULL)
Fast Forward: FORTRESS (CULL)
Fast Forward: FORTUNE (CULL)
Kraftwagen (CULL)
La Granja (CULL)
Las Vegas (KEEP)
Odin's Ravens (Second Edition) (CULL)
Power Grid: The Card Game (CULL)
The Castles of Burgundy (KEEP)"
Vincent Dutrait,4,6,10,"Alexandria (CULL)
Jaipur (CULL)
Lost Cities (KEEP)
Medici (KEEP)
Medici: The Dice Game (CULL)
Pyramid of Pengqueen (KEEP)
Raptor (CULL)
The Quest for El Dorado (KEEP)
Whale Riders (CULL)
Whale Riders: The Card Game (CULL)"
Chris Quilliams,4,6,10,"Arboretum (KEEP)
Azul (CULL)
Azul: Stained Glass of Sintra (CULL)
Azul: Summer Pavilion (KEEP)
Blackout: Hong Kong (KEEP)
Carcassonne (CULL)
Carcassonne: Hunters and Gatherers (CULL)
Era: Medieval Age (KEEP)
Junk Art (CULL)
Reef (CULL)"
Dennis Lohausen,8,1,9,"AquaSphere (KEEP)
Crown of Emara (KEEP)
Gaia Project (KEEP)
Hansa Teutonica: Big Box (KEEP)
Merlin: Big Box (KEEP)
No Thanks! (KEEP)
Rajas of the Ganges (KEEP)
Renature (CULL)
Terra Mystica (KEEP)"
Michael Menzel,7,0,7,"Chicago Express (KEEP)
Dominion (KEEP)
Forum Trajanum (KEEP)
Porta Nigra (KEEP)
Pyramid of Pengqueen (KEEP)
Stone Age (KEEP)
Torres (KEEP)"
Oliver Freudenreich,2,5,7,"Goa (KEEP)
No Thanks! (KEEP)
Qwixx (CULL)
Silver & Gold (CULL)
The Game (CULL)
The Mind (CULL)
X nimmt! (CULL)"
Claus Stephan,5,1,6,"Amerigo (KEEP)
Dominion (KEEP)
Escape: The Curse of the Temple – Big Box (KEEP)
Imhotep: The Duel (CULL)
Lost Cities (KEEP)
Through the Desert (KEEP)"
Paul Mafayon,4,1,5,"Cuzco (KEEP)
King of Tokyo: Dark Edition (KEEP)
Loony Quest (KEEP)
Mexica (KEEP)
Tikal (CULL)"
Andreas Resch,3,2,5,"Gùgōng (CULL)
Mombasa (KEEP)
Paris (CULL)
Pictomania (KEEP)
Rialto (KEEP)"
Kris Burm,4,0,4,"DVONN (KEEP)
LYNGK (KEEP)
TZAAR (KEEP)
YINSH (KEEP)"
Cyrille Daujean,3,1,4,"Memoir '44 (KEEP)
Quadropolis (KEEP)
Small World (KEEP)
Ticket to Ride: Europe (CULL)"
Ian O'Toole,3,1,4,"Age of Steam (KEEP)
Irish Gauge (CULL)
Kanban EV (KEEP)
Ride the Rails (KEEP)"
Julien Delval,3,1,4,"Dominion (KEEP)
Memoir '44 (KEEP)
The Castles of Burgundy (KEEP)
Ticket to Ride: Europe (CULL)"
Beth Sobel,3,1,4,"Arboretum (KEEP)
Calico (CULL)
Circle the Wagons (KEEP)
Wingspan (KEEP)"
Christophe Swal,2,2,4,"Cuzco (KEEP)
Innovation (CULL)
Mexica (KEEP)
Tikal (CULL)"
Mariano Iannelli,2,2,4,"Loot Island (CULL)
Nippon (KEEP)
Signorie (KEEP)
Vasco da Gama (CULL)"
Xavier Collette,2,2,4,"Get Bit! (CULL)
Mysterium Park (KEEP)
Timeline (KEEP)
Timeline: Discoveries (CULL)"
Tomasz Jedruszek,1,3,4,"Dominion (KEEP)
Fields of Green (CULL)
Stronghold: 2nd edition (CULL)
Tides of Time (CULL)"
Gjermund Bohne,3,0,3,"Avenue (KEEP)
Santa Maria (KEEP)
Trails of Tucana (KEEP)"
lu'cifer,3,0,3,"DVONN (KEEP)
TZAAR (KEEP)
YINSH (KEEP)"
Ossi Hiekkala,2,1,3,"Castell (KEEP)
Nations (KEEP)
Nations: The Dice Game (CULL)"
Peter Dennis,2,1,3,"Age of Steam (KEEP)
London (CULL)
The King Is Dead (KEEP)"
Alexandre Roche,2,1,3,"Bruxelles 1893 (KEEP)
Jaipur (CULL)
Troyes (KEEP)"
Anne Pätzke,1,2,3,"Brikks (KEEP)
Carcassonne (CULL)
Carcassonne: Hunters and Gatherers (CULL)"
Miguel Coimbra,1,2,3,"Cyclades (CULL)
Imhotep: The Duel (CULL)
Small World (KEEP)"
Michaela Kienle,1,2,3,"Exit: The Game – The Haunted Roller Coaster (CULL)
Imhotep: The Duel (CULL)
Lost Cities (KEEP)"
Philippe Guérin,1,2,3,"Arboretum (KEEP)
Azul (CULL)
Junk Art (CULL)"
Mariusz Gandzel,1,2,3,"Star Wars: Rebellion (KEEP)
Stronghold: 2nd edition (CULL)
Tikal (CULL)"
Xavier Gueniffey Durin,1,2,3,"Seasons (CULL)
Similo (KEEP)
Tokaido (CULL)"
Chris Byer,1,2,3,"Keep (CULL)
Merchants of Muziris (KEEP)
Neolithic (CULL)"
Loïc Billiau,1,2,3,"Circle the Wagons (KEEP)
Sprawlopolis (CULL)
Stew (CULL)"
Thies Schwarz,2,0,2,"Rhino Hero (KEEP)
Rhino Hero: Super Battle (KEEP)"
Dann May,2,0,2,"Everdell (KEEP)
Nothing Personal (KEEP)"
Matthias Catrein,2,0,2,"Dominion (KEEP)
Imperial (KEEP)"
Reinis Pētersons,2,0,2,"ICECOOL (KEEP)
Pyramid of Pengqueen (KEEP)"
Henning Ludvigsen,2,0,2,"Blood Rage (KEEP)
Project: ELITE (KEEP)"
Mike McVey,2,0,2,"Blood Rage (KEEP)
Project: ELITE (KEEP)"
Jeff Oglesby,2,0,2,"Altiplano (KEEP)
Flip Ships (KEEP)"
Hans-Georg Schneider,2,0,2,"Rialto (KEEP)
Strasbourg (KEEP)"
Fiore GmbH,2,0,2,"Maracaibo (KEEP)
NMBR 9 (KEEP)"
Alvin Madden,2,0,2,"For Sale (KEEP)
High Society (KEEP)"
Anne Heidsieck,2,0,2,"Majesty: For the Realm (KEEP)
Welcome To... (KEEP)"
Paul Niemeyer,2,0,2,"Age of Steam (KEEP)
High Society (KEEP)"
Arnaud Demaegd,2,0,2,"Myrmes (KEEP)
The Princes of Florence (KEEP)"
Maisherly,2,0,2,"Hanamikoji (KEEP)
Shadows in Kyoto (KEEP)"
Paolo Voto,2,0,2,"Darwin's Journey (KEEP)
Hats (KEEP)"
Alanna Cervenak,1,1,2,"Innovation (CULL)
Red7 (KEEP)"
JJ Ariosa,1,1,2,"Lockup: A Roll Player Tale (KEEP)
Neolithic (CULL)"
Lina Cossette,1,1,2,"Santorini (KEEP)
Steampunk Rally (CULL)"
David Forest,1,1,2,"Santorini (KEEP)
Steampunk Rally (CULL)"
Luis Francisco,1,1,2,"Pot de Vin (CULL)
The Bloody Inn (KEEP)"
Weberson Santiago,1,1,2,"Pot de Vin (CULL)
The Bloody Inn (KEEP)"
Martin Hoffmann,1,1,2,"Escape: The Curse of the Temple – Big Box (KEEP)
Exit: The Game – The Haunted Roller Coaster (CULL)"
Kwanchai Moriya,1,1,2,"Flip Ships (KEEP)
The Game (CULL)"
Stéphane Gantiez,1,1,2,"Libertalia (KEEP)
Seasons (CULL)"
Tomáš Kučerovský,1,1,2,"Codenames: Duet (KEEP)
The Prodigals Club (CULL)"
Pedro Soto,1,1,2,"1987 Channel Tunnel (KEEP)
Guilds of London (CULL)"
David Prieto,1,1,2,"Babylonia (KEEP)
Cupcake Empire (CULL)"
Uildrim,1,1,2,"Underwater Cities (KEEP)
Viceroy (CULL)"
Gaël Lannurien,1,1,2,"Ankh'or (CULL)
Ginkgopolis (KEEP)"
Jean-Baptiste Reynaud,1,1,2,"Cosmic Encounter Duel (CULL)
Schotten Totten (KEEP)"
Christian Fiore,1,1,2,"Heaven & Ale (KEEP)
HexRoller (CULL)"
Jere Kasanen,1,1,2,"Nations (KEEP)
Nations: The Dice Game (CULL)"
Paul Laane,1,1,2,"Nations (KEEP)
Nations: The Dice Game (CULL)"
Frida Lögdberg,1,1,2,"Nations (KEEP)
Nations: The Dice Game (CULL)"
Nicolas Fructus,1,1,2,"Timeline (KEEP)
Timeline: Discoveries (CULL)"
David Richards,0,2,2,"Century: Spice Road (CULL)
Summoner Wars: Alliances Master Set (CULL)"
Grzegorz Bobrowski,0,2,2,"Fields of Green (CULL)
Imperial Settlers: Empires of the North (CULL)"
Roman Kucharski,0,2,2,"Imperial Settlers: Empires of the North (CULL)
Stronghold: 2nd edition (CULL)"
Tony Boydell,0,2,2,"Guilds of London (CULL)
Snowdonia (CULL)"
Charlie Paull,0,2,2,"Guilds of London (CULL)
Snowdonia (CULL)"
Sandra Freudenreich,0,2,2,"Qwixx (CULL)
The Game (CULL)"
Doris Matthäus,0,2,2,"Carcassonne (CULL)
Ghost Blitz (CULL)"
Chris Ostrowski,0,2,2,"The Blood of an Englishman (CULL)
Tides of Time (CULL)"
Rafał Szyma,0,2,2,"Stronghold: 2nd edition (CULL)
Tides of Time (CULL)"
Janos Jantner,1,0,1,Bugs in the Kitchen (KEEP)
Maximilian Jasionowski,1,0,1,Bugs in the Kitchen (KEEP)
David Cherry,1,0,1,Medici (KEEP)
Dominique Ehrhard,1,0,1,Medici (KEEP)
Sébastien Caiveau,1,0,1,Not Alone (KEEP)
Dávid Jablonovský,1,0,1,Letter Jam (KEEP)
František Sedláček,1,0,1,Letter Jam (KEEP)
Lukáš Vodička,1,0,1,Letter Jam (KEEP)
Michaela Zaoralová,1,0,1,Letter Jam (KEEP)
Jun Sasaki,1,0,1,Insider (KEEP)
Scott Hartman,1,0,1,Mini Rails (KEEP)
Steve Tse,1,0,1,Mini Rails (KEEP)
Todd Sanders,1,0,1,"Gulf, Mobile & Ohio (KEEP)"
Anthony Cournoyer,1,0,1,Crisis (KEEP)
Viktor Csete,1,0,1,Crisis (KEEP)
Lucas Ribeiro,1,0,1,Lockup: A Roll Player Tale (KEEP)
Lucas Soriano,1,0,1,Nothing Personal (KEEP)
Francisco Rico Torres,1,0,1,Nothing Personal (KEEP)
Matthew Inman,1,0,1,Throw Throw Burrito (KEEP)
Elan Lee,1,0,1,Throw Throw Burrito (KEEP)
Markus Schmuck,1,0,1,Las Vegas (KEEP)
Mia Steingräber,1,0,1,Las Vegas (KEEP)
Mathieu Leyssenne,1,0,1,Loony Quest (KEEP)
illuVision,1,0,1,Pyramid of Pengqueen (KEEP)
Marco Armbruster,1,0,1,The Crew: The Quest for Planet Nine (KEEP)
Sophie Rekasowski,1,0,1,Aqualin (KEEP)
Jacoby O'Connor,1,0,1,Raccoon Tycoon (KEEP)
Annie Stegg,1,0,1,Raccoon Tycoon (KEEP)
Thierry Masson,1,0,1,Blood Rage (KEEP)
Adrian Smith,1,0,1,Blood Rage (KEEP)
Oliver Schlemmer,1,0,1,Escape: The Curse of the Temple – Big Box (KEEP)
Jeanne Torres,1,0,1,Flip Ships (KEEP)
Katie Khau,1,0,1,Mental Blocks (KEEP)
Alexander Jung,1,0,1,Strasbourg (KEEP)
Jo Hartwig,1,0,1,Trajan (KEEP)
Marina Fahrenbach,1,0,1,Navegador (KEEP)
Mac Gerdts,1,0,1,Navegador (KEEP)
Jason Coates,1,0,1,Glen More II: Chronicles (KEEP)
Hendrik Noack,1,0,1,Glen More II: Chronicles (KEEP)
Janos Orban,1,0,1,Embarcadero (KEEP)
Dragolisco,1,0,1,The Isle of Cats (KEEP)
Frank West,1,0,1,The Isle of Cats (KEEP)
Ben Carre,1,0,1,Libertalia (KEEP)
Aline Kirrmann,1,0,1,Maracaibo (KEEP)
Bluguy,1,0,1,The Lord of the Rings (KEEP)
John Howe,1,0,1,The Lord of the Rings (KEEP)
Don Perrin,1,0,1,Memoir '44 (KEEP)
Claude Rica,1,0,1,Memoir '44 (KEEP)
Jason Boles,1,0,1,Suburbia: Collector's Edition (KEEP)
Stephanie Gustafsson,1,0,1,Suburbia: Collector's Edition (KEEP)
Brett Stebbins,1,0,1,Suburbia: Collector's Edition (KEEP)
Taylor Bogle,1,0,1,Suburbia: Collector's Edition (KEEP)
Ollin Timm,1,0,1,Suburbia: Collector's Edition (KEEP)
Óscar Aguado,1,0,1,For Sale (KEEP)
Abbas Amirabadi,1,0,1,For Sale (KEEP)
Mahmoud Arasteh Nasab,1,0,1,For Sale (KEEP)
Mohammad Amir Garoosian,1,0,1,For Sale (KEEP)
Emilien Rotival,1,0,1,For Sale (KEEP)
Catell Ruz,1,0,1,For Sale (KEEP)
Uros Vuckovic,1,0,1,For Sale (KEEP)
Klaus Wilinski,1,0,1,For Sale (KEEP)
Sören Meding,1,0,1,Pulsar 2849 (KEEP)
Walter Pepperle,1,0,1,Mexica (KEEP)
Antonio De Luca,1,0,1,Barrage (KEEP)
Justin Schultz,1,0,1,Feudum (KEEP)
Kali Fitzgerald,1,0,1,Love Letter (KEEP)
Andrew Hepworth,1,0,1,Love Letter (KEEP)
Jeff Himmelman,1,0,1,Love Letter (KEEP)
John Kovalic,1,0,1,Love Letter (KEEP)
Nina Matsumoto,1,0,1,Love Letter (KEEP)
Robb Miller,1,0,1,Love Letter (KEEP)
Ken Niimura,1,0,1,Love Letter (KEEP)
Noboru Sugiura,1,0,1,Love Letter (KEEP)
Yating Sun,1,0,1,Love Letter (KEEP)
Isaac Fryxelius,1,0,1,Terraforming Mars (KEEP)
Ana Maria Martinez Jaramillo,1,0,1,Wingspan (KEEP)
Natalia Rojas,1,0,1,Wingspan (KEEP)
Cyril Bouquet,1,0,1,Kingdomino (KEEP)
Saeed Jalabi,1,0,1,Project: ELITE (KEEP)
Stef Kopinski,1,0,1,Project: ELITE (KEEP)
Edgar Skomorowski,1,0,1,Project: ELITE (KEEP)
