Artist,# Keep,# Cull,Total Games by This Artist,Games
Benoit Billion,1,0,1,The King Is Dead (KEEP)
David Kegg,1,0,1,Sorcerer City (KEEP)
Damien Mammoliti,1,0,1,Sorcerer City (KEEP)
Ralf Berszuck,1,0,1,Mystic Vale (KEEP)
Storn Cook,1,0,1,Mystic Vale (KEEP)
Andrew Gaia,1,0,1,Mystic Vale (KEEP)
Katherine Guevara,1,0,1,Mystic Vale (KEEP)
Heather Kreiter,1,0,1,Mystic Vale (KEEP)
Kiri Østergaard Leonard,1,0,1,Mystic Vale (KEEP)
Kiki Moch Rizky,1,0,1,Mystic Vale (KEEP)
Martin de Diego Sádaba,1,0,1,Mystic Vale (KEEP)
Ryan Laukat,1,0,1,Dominion (KEEP)
Marcel-André Casasola Merkle,1,0,1,Dominion (KEEP)
Christof Tisch,1,0,1,Dominion (KEEP)
Milan Vavroň,1,0,1,Underwater Cities (KEEP)
Christine Alcouffe,1,0,1,Pharaon (KEEP)
Jean-Marie Minguez,1,0,1,Nidavellir (KEEP)
Matt Allsopp,1,0,1,Star Wars: Rebellion (KEEP)
David Ardila,1,0,1,Star Wars: Rebellion (KEEP)
Balaskas,1,0,1,Star Wars: Rebellion (KEEP)
Tiziano Baracchi,1,0,1,Star Wars: Rebellion (KEEP)
Ryan Barger,1,0,1,Star Wars: Rebellion (KEEP)
Jorge Barrero,1,0,1,Star Wars: Rebellion (KEEP)
Cassandre Bolan,1,0,1,Star Wars: Rebellion (KEEP)
Jon Bosco,1,0,1,Star Wars: Rebellion (KEEP)
Matt Bradbury,1,0,1,Star Wars: Rebellion (KEEP)
Adam Burn,1,0,1,Star Wars: Rebellion (KEEP)
Alexandre Dainche,1,0,1,Star Wars: Rebellion (KEEP)
Christina Davis,1,0,1,Star Wars: Rebellion (KEEP)
Anthony Devine,1,0,1,Star Wars: Rebellion (KEEP)
Allen Douglas,1,0,1,Star Wars: Rebellion (KEEP)
Jose Mikhail Elloso,1,0,1,Star Wars: Rebellion (KEEP)
Tony Foti,1,0,1,Star Wars: Rebellion (KEEP)
Michele Frigo,1,0,1,Star Wars: Rebellion (KEEP)
Zach Graves,1,0,1,Star Wars: Rebellion (KEEP)
Richard Hanuschek,1,0,1,Star Wars: Rebellion (KEEP)
Christopher Hosch,1,0,1,Star Wars: Rebellion (KEEP)
Andrew Johanson,1,0,1,Star Wars: Rebellion (KEEP)
Jeff Lee Johnson,1,0,1,Star Wars: Rebellion (KEEP)
Jason Juta,1,0,1,Star Wars: Rebellion (KEEP)
Adam Lane,1,0,1,Star Wars: Rebellion (KEEP)
Ignacio Bazán Lazcano,1,0,1,Star Wars: Rebellion (KEEP)
Ralph McQuarrie,1,0,1,Star Wars: Rebellion (KEEP)
Mark Molnar,1,0,1,Star Wars: Rebellion (KEEP)
Jake Murray,1,0,1,Star Wars: Rebellion (KEEP)
Ameen Naksewee,1,0,1,Star Wars: Rebellion (KEEP)
David Auden Nash,1,0,1,Star Wars: Rebellion (KEEP)
Mike Nash,1,0,1,Star Wars: Rebellion (KEEP)
Maciej Rebisz,1,0,1,Star Wars: Rebellion (KEEP)
Alexandru Sabo,1,0,1,Star Wars: Rebellion (KEEP)
Samuel R. Shimota,1,0,1,Star Wars: Rebellion (KEEP)
Tony Shasteen,1,0,1,Star Wars: Rebellion (KEEP)
Stephen Somers,1,0,1,Star Wars: Rebellion (KEEP)
Matthew Starbuck,1,0,1,Star Wars: Rebellion (KEEP)
Nicholas Stohlman,1,0,1,Star Wars: Rebellion (KEEP)
Angela Sung,1,0,1,Star Wars: Rebellion (KEEP)
Darren Tan,1,0,1,Star Wars: Rebellion (KEEP)
Ryan Valle,1,0,1,Star Wars: Rebellion (KEEP)
Jose Vega,1,0,1,Star Wars: Rebellion (KEEP)
VIKO,1,0,1,Star Wars: Rebellion (KEEP)
Magali Villeneuve,1,0,1,Star Wars: Rebellion (KEEP)
Jacob Walker,1,0,1,Star Wars: Rebellion (KEEP)
Ben Zweifel,1,0,1,Star Wars: Rebellion (KEEP)
Martin Mottet,1,0,1,The Magnificent (KEEP)
Freepik,1,0,1,Electropolis (KEEP)
Masha Tace,1,0,1,Electropolis (KEEP)
Josh Cappel,1,0,1,The Manhattan Project: Energy Empire (KEEP)
Jeffrey Edwards,1,0,1,The Manhattan Project: Energy Empire (KEEP)
Emily Hancock,1,0,1,Merchants of Muziris (KEEP)
Daryl Toh Liem Zhan,1,0,1,Merchants of Muziris (KEEP)
Andrew Bosley,1,0,1,Everdell (KEEP)
Atelier Löwentor,1,0,1,No Thanks! (KEEP)
Sean Brown,1,0,1,Age of Steam (KEEP)
Sam Phillips,1,0,1,Circadians: First Light (KEEP)
Cole Wehrle,1,0,1,Pax Pamir: Second Edition (KEEP)
Mateusz Bielski,1,0,1,High Society (KEEP)
Medusa Dollmaker,1,0,1,High Society (KEEP)
Wesly Gibs,1,0,1,High Society (KEEP)
Dahee Lee,1,0,1,High Society (KEEP)
Yusuke Mamada,1,0,1,High Society (KEEP)
Ulf Marckwort,1,0,1,High Society (KEEP)
Björn Pertoft,1,0,1,High Society (KEEP)
Markus Wagner,1,0,1,High Society (KEEP)
Villő Farkas,1,0,1,Trickerion: Legends of Illusion (KEEP)
László Fejes,1,0,1,Trickerion: Legends of Illusion (KEEP)
Steve Finn,1,0,1,Biblios (KEEP)
David Palumbo,1,0,1,Biblios (KEEP)
Bryan Fischer,1,0,1,Circle the Wagons (KEEP)
Mashiro Misaki,1,0,1,Hanamikoji (KEEP)
Sabrina Miramon,1,0,1,Quadropolis (KEEP)
John Gravato,1,0,1,Through the Desert (KEEP)
Atha Kanaani,1,0,1,Through the Desert (KEEP)
Scott Nicely,1,0,1,Through the Desert (KEEP)
Brian Schomburg,1,0,1,Through the Desert (KEEP)
Eckhard Freytag,1,0,1,The Princes of Florence (KEEP)
Wolfgang Kramer,1,0,1,The Princes of Florence (KEEP)
Mirco Paganessi,1,0,1,The Princes of Florence (KEEP)
Richard Ulrich,1,0,1,The Princes of Florence (KEEP)
Dorien Boekhorst,1,0,1,Schotten Totten (KEEP)
Bärbel Skarabelo,1,0,1,Schotten Totten (KEEP)
Alessandra Cimatoribus,1,0,1,Torres (KEEP)
Tomasz Larek,1,0,1,Blue Lagoon (KEEP)
Gong Studios,1,0,1,Tiny Towns (KEEP)
Jonas Hassibi,1,0,1,Babylonia (KEEP)
Anke Pohl,1,0,1,Lost Cities (KEEP)
Thilo Rick,1,0,1,Lost Cities (KEEP)
Rex Lee,1,0,1,Patchwork (KEEP)
Gru Tsow,1,0,1,Patchwork (KEEP)
Jennifer L. Meyer,1,0,1,The Fox in the Forest (KEEP)
Pascal Quidault,1,0,1,Conspiracy: Abyss Universe (KEEP)
Rey Sommerkamp,1,0,1,L.L.A.M.A. (KEEP)
Barbara Spelger,1,0,1,L.L.A.M.A. (KEEP)
Tomasz Samojlik,1,0,1,L.L.A.M.A. (KEEP)
M81 Studio,1,0,1,Mysterium Park (KEEP)
Haakon Gaarder,1,0,1,Villagers (KEEP)
François Bruel,1,0,1,"Hey, That's My Fish! (KEEP)"
Sylvain Decaux,1,0,1,"Hey, That's My Fish! (KEEP)"
Bernd Natke,1,0,1,"Hey, That's My Fish! (KEEP)"
Bartlomiej Roczniak,0,1,1,Venice (CULL)
Kerri Aitken,0,1,1,Boomerang: Europe (CULL)
Vincent Christiaens,0,1,1,Lawyer Up (CULL)
Sean Simmons,0,1,1,Lawyer Up (CULL)
Matt Zeilinger,0,1,1,Lawyer Up (CULL)
Carl Chudyk,0,1,1,Innovation (CULL)
Cara Judd,0,1,1,Innovation (CULL)
Robin Olausson,0,1,1,Innovation (CULL)
Anders Olausson,0,1,1,Innovation (CULL)
Cyril Van Der Haegen,0,1,1,Innovation (CULL)
Tristam Rossin,0,1,1,3 Laws of Robotics (CULL)
Alexandr Elichev,0,1,1,Founders of Gloomhaven (CULL)
Josh T. McDowell,0,1,1,Founders of Gloomhaven (CULL)
Felideus Bubastis,0,1,1,Walk the Plank! (CULL)
Mike Groves,0,1,1,Walk the Plank! (CULL)
Guido Favaro,0,1,1,Coloretto (CULL)
Michael Schacht,0,1,1,Coloretto (CULL)
Oksana Svistun,0,1,1,Coloretto (CULL)
Silvia Christoph,0,1,1,Exit: The Game – The Haunted Roller Coaster (CULL)
Daniel Lieske,0,1,1,The Mysterious Forest (CULL)
Stéphane Escapa,0,1,1,Slide Quest (CULL)
Mike Atkinson,0,1,1,London (CULL)
Natalia Borek,0,1,1,London (CULL)
Simon Jannerland,0,1,1,London (CULL)
Przemysław Sobiecki,0,1,1,London (CULL)
Sandra Johansson,0,1,1,Ubongo (CULL)
Nicolas Neubauer,0,1,1,Ubongo (CULL)
Steve Fastner,0,1,1,Lords of Vegas (CULL)
Rich Larson,0,1,1,Lords of Vegas (CULL)
Mihajlo Dimitrievski,0,1,1,Drawn to Adventure (CULL)
Fernanda Suárez,0,1,1,Century: Spice Road (CULL)
Charlie Bink,0,1,1,Coconuts (CULL)
Robert Islas,0,1,1,Coconuts (CULL)
Vincent Kim,0,1,1,Coconuts (CULL)
Jaroslav Jurica,0,1,1,Project L (CULL)
Pavel Richter,0,1,1,Project L (CULL)
Cam Kendell,0,1,1,5-Minute Mystery (CULL)
Vaughn Reynolds,0,1,1,Starving Artists (CULL)
Juliet Breese,0,1,1,Inhabit the Earth (CULL)
David Cochard,0,1,1,Tash-Kalar: Arena of Legends (CULL)
Roland MacDonald,0,1,1,Undaunted: Normandy (CULL)
Marcel Gröber,0,1,1,Carcassonne: Hunters and Gatherers (CULL)
Johann Rüttinger,0,1,1,Carcassonne: Hunters and Gatherers (CULL)
Dalibor Krch,0,1,1,Space Race: The Card Game (CULL)
Zak Eidsvoog,0,1,1,Space Race: The Card Game (CULL)
Brian Patterson,0,1,1,Chimera Station (CULL)
Mike Langman,0,1,1,Piepmatz (CULL)
Vincent Poulard,0,1,1,Get Bit! (CULL)
Gavin Schmitt,0,1,1,Get Bit! (CULL)
Naomi Robinson,0,1,1,Fields of Green (CULL)
Roberto Grasso,0,1,1,Jungle Race (CULL)
Christian Opperer,0,1,1,Carthago: Merchants & Guilds (CULL)
Odysseas Stamoglou,0,1,1,Carthago: Merchants & Guilds (CULL)
Citie Lo,0,1,1,Board Game Cafe Frenzy (CULL)
Amanda Duarte,0,1,1,Cupcake Empire (CULL)
Banu Andaru,0,1,1,Valley of the Kings: Premium Edition (CULL)
Johan Egerkrans,0,1,1,Odin's Ravens (Second Edition) (CULL)
Marcin Minor,0,1,1,Odin's Ravens (Second Edition) (CULL)
Mateusz Komada,0,1,1,Jetpack Joyride (CULL)
Katarzyna Kosobucka,0,1,1,Jetpack Joyride (CULL)
Adam P. McIver,0,1,1,Rolled West (CULL)
Ariel Seoane,0,1,1,Rolled West (CULL)
Antoine Bauza,0,1,1,Hanabi (CULL)
Gérald Guerlais,0,1,1,Hanabi (CULL)
Albertine Ralenti,0,1,1,Hanabi (CULL)
Roanna Peroz,0,1,1,The Fox in the Forest Duet (CULL)
Jade Mosch,0,1,1,Kanagawa (CULL)
Anca Gavril,0,1,1,On Tour (CULL)
Cathy Brigg,0,1,1,Tsuro (CULL)
Shane Small,0,1,1,Tsuro (CULL)
Imelda Vohwinkel,0,1,1,Tsuro (CULL)
Sami Laakso,0,1,1,Dale of Merchants (CULL)
Alayna Lemmer-Danner,0,1,1,Temporum (CULL)
Pawel Hordyniak,0,1,1,Minute Realms (CULL)
Markku Laine,0,1,1,Dokmus (CULL)
Sami Saramäki,0,1,1,Dokmus (CULL)
Josh Wood,0,1,1,Cat Lady (CULL)
Marta Tranquilli,0,1,1,Railroad Ink: Deep Blue Edition (CULL)
Klaus-Jürgen Wrede,0,1,1,Carcassonne (CULL)
Sarah Ellerton,0,1,1,Arcane Academy (CULL)
Michael DeVito,0,1,1,Arcane Academy (CULL)
Chris Wharton,0,1,1,Arcane Academy (CULL)
Isidre Monés,0,1,1,Amun-Re (CULL)
Dylan Mangini,0,1,1,Point Salad (CULL)
Sylvain Guinebaud,0,1,1,Piña Pirata (CULL)
Sebastián Koziner,0,1,1,Cosmic Encounter Duel (CULL)
Régis Torres,0,1,1,Cosmic Encounter Duel (CULL)
Dan Pellow,0,1,1,Tides of Time (CULL)
Blake Rottinger,0,1,1,Tides of Time (CULL)
Artur Sadlos,0,1,1,Tides of Time (CULL)
Dmitry Burmak,0,1,1,Viceroy (CULL)
Sergey Dulin,0,1,1,Viceroy (CULL)
Pavel Guzenko,0,1,1,Viceroy (CULL)
Anna Ignatieva,0,1,1,Viceroy (CULL)
Ilya Komarov,0,1,1,Viceroy (CULL)
Kate Maximovich,0,1,1,Viceroy (CULL)
Dmitry Prosvirnin,0,1,1,Viceroy (CULL)
Jun Kondo,0,1,1,Onitama (CULL)
Mariusz Szmerdt,0,1,1,Onitama (CULL)
Danny Devine,0,1,1,Sprawlopolis (CULL)
Vincent Joubert,0,1,1,Via Nebula (CULL)
Jason D. Kingsley,0,1,1,The Game (CULL)
Gabriela Silveira,0,1,1,Ghost Blitz (CULL)
Peter Wocken,0,1,1,Sagrada (CULL)
Sylvain Aublin,0,1,1,Scarabya (CULL)
Thomas Vuarchex,0,1,1,Jungle Speed (CULL)
Pierrick Yakovenko,0,1,1,Jungle Speed (CULL)
Max Prentis,0,1,1,Second Chance (CULL)
Justine Nortjé,0,1,1,Second Chance (CULL)
Clément Masson,0,1,1,Five Tribes (CULL)
Ronald Halliday,0,1,1,Seven Bridges (CULL)
Michael T Schroeder,0,1,1,Seven Bridges (CULL)
Leon Schiffer,0,1,1,That's Pretty Clever! (CULL)
Jason Glover,0,1,1,Stew (CULL)
Sofia Muzychka,0,1,1,Stew (CULL)
Pierô,0,1,1,Mr. Jack (CULL)
Régis Bonnessée,0,1,1,Seasons (CULL)
Alex Fernandez (I),0,1,1,Zombie Dice (CULL)
Michael Michaels,0,1,1,Ligretto (CULL)
Vito Gesualdi,0,1,1,Star Realms (CULL)
Oliver Howe,0,1,1,Keep (CULL)
Barbara Trela-Szyma,0,1,1,Stronghold: 2nd edition (CULL)
Noah Adelman,0,1,1,Gùgōng (CULL)
Chris Bilheimer,0,1,1,A Gentle Rain (CULL)
Karolina Kijak,0,1,1,Meadow (CULL)
Katarzyna Fiebiger,0,1,1,Meadow (CULL)
